TECHNOLOGY,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
AAHP,6.320828211953396,6.309462158037009,6.294370820343597,6.284160014084683,6.271663210772,6.256651384191988,6.2415011754453,6.224212119569216,6.207888902012332,6.192115943006861,6.177294702468022,6.162690821002986,6.148118250512973,6.133944824786787,6.120226744615871,6.106936602080632,6.093621560002678,6.080500882224246,6.067646494242907,6.055222553190209,6.043077904447443,6.030900469874476,6.019082968854993,6.007592754318119,5.996605193582069,5.985879709920633,5.975055301928389,5.964568445082459,5.954691403031404,5.944311988369984,5.933950464755685,5.923645346352638,5.913399164208634,5.9031911545376525,5.89304777560585,5.882957934828828,5.872908205571147,5.862921839705536,5.852979660183936,5.843091965960017,5.833255496757993,5.823482804029613,5.813753620125827,5.804075572132233,5.794476891643518,5.7849083792569775
ASHP,6.320828211953396,6.309462158037009,6.294370820343597,6.284160014084683,6.271663210772,6.256651384191988,6.2415011754453,6.224212119569216,6.207888902012332,6.192115943006861,6.177294702468022,6.162690821002986,6.148118250512973,6.133944824786787,6.120226744615871,6.106936602080632,6.093621560002678,6.080500882224246,6.067646494242907,6.055222553190209,6.043077904447443,6.030900469874476,6.019082968854993,6.007592754318119,5.996605193582069,5.985879709920633,5.975055301928389,5.964568445082459,5.954691403031404,5.944311988369984,5.933950464755685,5.923645346352638,5.913399164208634,5.9031911545376525,5.89304777560585,5.882957934828828,5.872908205571147,5.862921839705536,5.852979660183936,5.843091965960017,5.833255496757993,5.823482804029613,5.813753620125827,5.804075572132233,5.794476891643518,5.7849083792569775
AWHP,6.320828211953396,6.309462158037009,6.294370820343597,6.284160014084683,6.271663210772,6.256651384191988,6.2415011754453,6.224212119569216,6.207888902012332,6.192115943006861,6.177294702468022,6.162690821002986,6.148118250512973,6.133944824786787,6.120226744615871,6.106936602080632,6.093621560002678,6.080500882224246,6.067646494242907,6.055222553190209,6.043077904447443,6.030900469874476,6.019082968854993,6.007592754318119,5.996605193582069,5.985879709920633,5.975055301928389,5.964568445082459,5.954691403031404,5.944311988369984,5.933950464755685,5.923645346352638,5.913399164208634,5.9031911545376525,5.89304777560585,5.882957934828828,5.872908205571147,5.862921839705536,5.852979660183936,5.843091965960017,5.833255496757993,5.823482804029613,5.813753620125827,5.804075572132233,5.794476891643518,5.7849083792569775
BEHI,14.397442038338086,14.371552693306183,14.337177979672228,14.313920032081876,14.28545509120262,14.251261486214354,14.21675267740154,14.177372050129971,14.140191387916763,14.104264092404636,14.070504600064512,14.037240203395218,14.004047126169198,13.97176321201392,13.94051647384778,13.910244482517989,13.879915775562012,13.850029787287726,13.82075034799796,13.792451371154868,13.764788560130322,13.7370510702692,13.71013342905862,13.683961273724847,13.658934052049204,13.634503783708784,13.609848187725175,13.585961458243968,13.563463751349897,13.539821751287716,13.516220503055486,13.492747733359284,13.46940920736425,13.446157629780757,13.423053266658856,13.400070851555444,13.377179801578809,13.354433079329835,13.331787003753526,13.3092650335757,13.28685974261607,13.264599720289477,13.242438801398714,13.220394358744958,13.198530697633036,13.176735752753006
BELO,14.397442038338086,14.371552693306183,14.337177979672228,14.313920032081876,14.28545509120262,14.251261486214354,14.21675267740154,14.177372050129971,14.140191387916763,14.104264092404636,14.070504600064512,14.037240203395218,14.004047126169198,13.97176321201392,13.94051647384778,13.910244482517989,13.879915775562012,13.850029787287726,13.82075034799796,13.792451371154868,13.764788560130322,13.7370510702692,13.71013342905862,13.683961273724847,13.658934052049204,13.634503783708784,13.609848187725175,13.585961458243968,13.563463751349897,13.539821751287716,13.516220503055486,13.492747733359284,13.46940920736425,13.446157629780757,13.423053266658856,13.400070851555444,13.377179801578809,13.354433079329835,13.331787003753526,13.3092650335757,13.28685974261607,13.264599720289477,13.242438801398714,13.220394358744958,13.198530697633036,13.176735752753006
BEME,14.397442038338086,14.371552693306183,14.337177979672228,14.313920032081876,14.28545509120262,14.251261486214354,14.21675267740154,14.177372050129971,14.140191387916763,14.104264092404636,14.070504600064512,14.037240203395218,14.004047126169198,13.97176321201392,13.94051647384778,13.910244482517989,13.879915775562012,13.850029787287726,13.82075034799796,13.792451371154868,13.764788560130322,13.7370510702692,13.71013342905862,13.683961273724847,13.658934052049204,13.634503783708784,13.609848187725175,13.585961458243968,13.563463751349897,13.539821751287716,13.516220503055486,13.492747733359284,13.46940920736425,13.446157629780757,13.423053266658856,13.400070851555444,13.377179801578809,13.354433079329835,13.331787003753526,13.3092650335757,13.28685974261607,13.264599720289477,13.242438801398714,13.220394358744958,13.198530697633036,13.176735752753006
BEST,14.397442038338086,14.371552693306183,14.337177979672228,14.313920032081876,14.28545509120262,14.251261486214354,14.21675267740154,14.177372050129971,14.140191387916763,14.104264092404636,14.070504600064512,14.037240203395218,14.004047126169198,13.97176321201392,13.94051647384778,13.910244482517989,13.879915775562012,13.850029787287726,13.82075034799796,13.792451371154868,13.764788560130322,13.7370510702692,13.71013342905862,13.683961273724847,13.658934052049204,13.634503783708784,13.609848187725175,13.585961458243968,13.563463751349897,13.539821751287716,13.516220503055486,13.492747733359284,13.46940920736425,13.446157629780757,13.423053266658856,13.400070851555444,13.377179801578809,13.354433079329835,13.331787003753526,13.3092650335757,13.28685974261607,13.264599720289477,13.242438801398714,13.220394358744958,13.198530697633036,13.176735752753006
BMBO,14.397442038338086,14.371552693306183,14.337177979672228,14.313920032081876,14.28545509120262,14.251261486214354,14.21675267740154,14.177372050129971,14.140191387916763,14.104264092404636,14.070504600064512,14.037240203395218,14.004047126169198,13.97176321201392,13.94051647384778,13.910244482517989,13.879915775562012,13.850029787287726,13.82075034799796,13.792451371154868,13.764788560130322,13.7370510702692,13.71013342905862,13.683961273724847,13.658934052049204,13.634503783708784,13.609848187725175,13.585961458243968,13.563463751349897,13.539821751287716,13.516220503055486,13.492747733359284,13.46940920736425,13.446157629780757,13.423053266658856,13.400070851555444,13.377179801578809,13.354433079329835,13.331787003753526,13.3092650335757,13.28685974261607,13.264599720289477,13.242438801398714,13.220394358744958,13.198530697633036,13.176735752753006
ELRE,11.779725304095004,11.758543112705103,11.73041834700429,11.711389117157571,11.688099620074958,11.66012303417611,11.631888554238468,11.599668041015136,11.56924749920494,11.539852439240128,11.512231036416903,11.48501471186842,11.457856739592753,11.431442628011029,11.40587711496626,11.381109122060131,11.356294725459938,11.331842553235008,11.3078866483627,11.28473294003599,11.262099731015256,11.23940542112893,11.217381896503232,11.195968314865922,11.175491497130702,11.155503095761196,11.1353303354116,11.115786647654224,11.097379432922525,11.078035978325689,11.058725866136252,11.039520872748149,11.020425715116277,11.001401697092746,10.982498127265751,10.963694333090956,10.944965292200688,10.926354337633295,10.907825730342624,10.889398663834582,10.87106706214042,10.852854316600792,10.83472265569022,10.816686293519671,10.798797843518091,10.780965615888446
ELST,8.09856114656511,8.083998389984748,8.064662613565288,8.051580018045673,8.035568488801257,8.01633458599549,7.996923381038221,7.974771778198316,7.953857655703628,7.933648551977463,7.914658837536611,7.89594761440987,7.877276508469714,7.859116806757872,7.841540516539309,7.824512521416165,7.807452623753392,7.790641755349234,7.774172070749328,7.758253896274929,7.742693565073297,7.727091227026438,7.71195005384527,7.697228216470054,7.683150404277505,7.669408378335752,7.655539605595458,7.64210332026266,7.629448360134179,7.6161497350991345,7.602874032968351,7.589670600014586,7.57654267914185,7.563463666751656,7.550467462495229,7.5375398539995375,7.52466363838815,7.511868607122828,7.499130189610407,7.486461581386834,7.4738586052217615,7.461337342662884,7.448871825786373,7.436471826794182,7.424173517418445,7.41191386092324
GSHP,6.320828211953396,6.309462158037009,6.294370820343597,6.284160014084683,6.271663210772,6.256651384191988,6.2415011754453,6.224212119569216,6.207888902012332,6.192115943006861,6.177294702468022,6.162690821002986,6.148118250512973,6.133944824786787,6.120226744615871,6.106936602080632,6.093621560002678,6.080500882224246,6.067646494242907,6.055222553190209,6.043077904447443,6.030900469874476,6.019082968854993,6.007592754318119,5.996605193582069,5.985879709920633,5.975055301928389,5.964568445082459,5.954691403031404,5.944311988369984,5.933950464755685,5.923645346352638,5.913399164208634,5.9031911545376525,5.89304777560585,5.882957934828828,5.872908205571147,5.862921839705536,5.852979660183936,5.843091965960017,5.833255496757993,5.823482804029613,5.813753620125827,5.804075572132233,5.794476891643518,5.7849083792569775
H2BO,25.91539566900887,25.868794847951467,25.806920363409624,25.76505605774421,25.71381916416351,25.652270675187207,25.59015481932239,25.519269690232655,25.452344498251808,25.387675366328605,25.32690828011797,25.267032366111916,25.20728482710397,25.149173781625937,25.09292965292508,25.038440068531536,24.98384839601133,24.93005361711748,24.87735062639728,24.82641246808082,24.776619408236552,24.72669192648506,24.678240172306577,24.631130292702952,24.586081293687705,24.54210681067335,24.49772673790563,24.45473062483911,24.414234752430016,24.37167915231868,24.32919690549804,24.286945920046364,24.244936573254545,24.2030837336048,24.16149587998441,24.120127532798904,24.078923642840945,24.037979542793195,23.99721660675506,23.95667706043565,23.916347536709296,23.876279496521303,23.836389842516457,23.79670984574176,23.757355255739355,23.7181243549554
